Significance Analysis of Microarrays by gene																			
Gene Name	Differentiated			Immunoreactive			Mesenchymal			Proliferative			Chromosome name	Band	Description				
VPS4B	0,3085	1,0187	29,8206	2,3181	1,1419	0,7301	1,4546	1,083	9,6877	-3,8448	0,8194	0	18	q21.33	"Vacuolar protein sorting-associating protein 4B (Suppressor of K(+) transport growth defect 1) (Protein SKD1). [Source:Uniprot/SWISSPROT;Acc:O75351]"				
VPS52	-0,4444	0,9801	24,09	1,4603	1,0648	6,6672	-2,5849	0,8999	0,1264	1,5154	1,0615	2,6217	6	p21.32	"Vacuolar protein sorting-associated protein 52 homolog (SAC2 suppressor of actin mutations 2-like protein). [Source:Uniprot/SWISSPROT;Acc:Q8N1B4]"				
VPS53	-2,0228	0,8869	1,216	1,2503	1,0737	9,5943	-0,2446	0,9867	21,5379	0,8549	1,0456	12,1755	17	p13.3	"Vacuolar protein sorting-associated protein 53 homolog. [Source:Uniprot/SWISSPROT;Acc:Q5VIR6]"				
VPS54	-1,6913	0,9248	3,2175	2,3586	1,1093	0,7301	-1,735	0,9295	1,3817	0,9895	1,0409	9,2746	2	p14	"Vacuolar protein sorting-associated protein 54 (Tumor antigen SLP-8p) (Hepatocellular carcinoma protein 8). [Source:Uniprot/SWISSPROT;Acc:Q9P1Q0]"				
VPS72	-2,9165	0,8693	0,066	2,0423	1,0989	1,4462	-3,8504	0,8459	0	4,3972	1,1999	0	1	q21.2	"Vacuolar protein sorting-associated protein 72 homolog (Transcription factor-like 1) (Protein YL-1). [Source:Uniprot/SWISSPROT;Acc:Q15906]"				
VPS8	-2,5799	0,8702	0,1677	0,13	1,0067	35,6069	-0,0429	0,9978	21,5379	2,1763	1,1084	0,6935	3	q27.2	"Vacuolar protein sorting-associated protein 8 homolog. [Source:Uniprot/SWISSPROT;Acc:Q8N3P4]"				
VRK1	-2,981	0,8249	0,0315	1,5222	1,0994	4,2891	-0,3812	0,9775	21,5379	1,5616	1,0931	2,6217	14	q32.2	"Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1). [Source:Uniprot/SWISSPROT;Acc:Q99986]"				
VRK3	0,2941	1,0136	29,8206	2,3485	1,108	0,7301	-2,0416	0,9182	1,3817	-0,447	0,9821	22,8783	19	q13.33	"Serine/threonine-protein kinase VRK3 (EC 2.7.11.1) (Vaccinia-related kinase 3). [Source:Uniprot/SWISSPROT;Acc:Q8IV63]"				
VSIG4	-3,9567	0,6662	0	8,9328	2,2569	0	7,1515	1,9006	0	-12,4266	0,3819	0	X	q12	"V-set and immunoglobulin domain-containing protein 4 precursor (Protein Z39Ig). [Source:Uniprot/SWISSPROT;Acc:Q9Y279]"				
VSNL1	-2,7098	0,8229	0,1677	-0,4762	0,9674	30,6701	4,8795	1,3684	0	-1,7568	0,8946	2,6217	2	p24.2	"Visinin-like protein 1 (VILIP) (Hippocalcin-like protein 3) (HLP3). [Source:Uniprot/SWISSPROT;Acc:P62760]"				
VSX1	2,2013	1,0471	1,216	-0,8624	0,9827	20,4598	-2,2887	0,9573	0,4599	1,0511	1,0195	9,2746	20	p11.21	"Visual system homeobox 1 (Transcription factor VSX1) (Retinal inner nuclear layer homeobox protein) (Homeodomain protein RINX). [Source:Uniprot/SWISSPROT;Acc:Q9NZR4]"				
VTCN1	4,3365	1,8933	0	6,3321	2,3854	0	-0,3979	0,9467	21,5379	-9,9001	0,3106	0	1	p13.1	"V-set domain containing T cell activation inhibitor 1  [Source:RefSeq_peptide;Acc:NP_078902]"				
VTN	2,1463	1,1006	2,0642	-0,6673	0,9717	24,1232	-1,1588	0,9536	6,1022	-0,1485	0,9941	25,8605	17	q11.2	"Vitronectin precursor (Serum-spreading factor) (S-protein) (V75) [Contains: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]. [Source:Uniprot/SWISSPROT;Acc:P04004]"				
VWA1	2,9965	1,2149	0,1677	-0,099	0,9937	38,4136	3,2461	1,2118	0,0249	-5,8227	0,7253	0	1	p36.33	"von Willebrand factor A domain-containing protein 1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q6PCB0]"				
VWF	-2,7627	0,8595	0,066	-2,3481	0,8838	1,4462	4,6006	1,2535	0	0,2429	1,0118	26,223	12	p13.31	"von Willebrand factor precursor (vWF) [Contains: von Willebrand antigen 2 (von Willebrand antigen II)]. [Source:Uniprot/SWISSPROT;Acc:P04275]"				
WAC	-2,7474	0,8867	0,066	0,1715	1,0072	35,6069	0,6874	1,0281	17,6043	1,5717	1,0625	2,6217	10	p11.23	"WW domain-containing adapter protein with coiled-coil. [Source:Uniprot/SWISSPROT;Acc:Q9BTA9]"				
WAPAL	-1,2439	0,9507	6,6377	-0,9985	0,9619	16,7477	0,8649	1,0325	14,6237	1,1753	1,0426	6,6307	10	q23.2	"Wings apart-like protein homolog (Friend of EBNA2 protein). [Source:Uniprot/SWISSPROT;Acc:Q7Z5K2]"				
WARS	-2,4641	0,8349	0,3398	9,3634	1,8129	0	0,3663	1,0249	20,8619	-6,2294	0,6814	0	14	q32.2	"Tryptophanyl-tRNA synthetase, cytoplasmic (EC 6.1.1.2) (Tryptophan-- tRNA ligase) (TrpRS) (Interferon-induced protein 53) (IFP53) (hWRS). [Source:Uniprot/SWISSPROT;Acc:P23381]"				
WARS2	2,2247	1,1435	1,216	1,0442	1,0624	13,0283	-2,9206	0,8521	0,1264	-0,1231	0,9934	26,1394	1	p12	"Tryptophanyl-tRNA synthetase, mitochondrial precursor (EC 6.1.1.2) (Tryptophan--tRNA ligase) (TrpRS) ((Mt)TrpRS). [Source:Uniprot/SWISSPROT;Acc:Q9UGM6]"				
WAS	0,4967	1,0135	24,09	6,0721	1,1611	0	1,7106	1,0431	6,1022	-8,0598	0,8397	0	X	p11.23	"Wiskott-Aldrich syndrome protein (WASp). [Source:Uniprot/SWISSPROT;Acc:P42768]"				
WASF1	-3,2536	0,7699	0	-4,9613	0,6875	0	0,1911	1,0143	21,5379	7,5442	1,6521	0	6	q21	"Wiskott-Aldrich syndrome protein family member 1 (WASP family protein member 1) (Protein WAVE-1) (Verprolin homology domain-containing protein 1). [Source:Uniprot/SWISSPROT;Acc:Q92558]"				
WASF3	0,9224	1,0715	16,6018	-4,1357	0,7481	0	0,8211	1,0577	16,0569	2,1241	1,1488	0,6935	13	q12.13	"Wiskott-Aldrich syndrome protein family member 3 (WASP family protein member 3) (Protein WAVE-3) (Verprolin homology domain-containing protein 3). [Source:Uniprot/SWISSPROT;Acc:Q9UPY6]"				
WASL	5,1283	1,2032	0	-2,8673	0,9034	0,3348	0,177	1,006	21,5379	-1,9131	0,9394	1,4298	7	q31.32	"Neural Wiskott-Aldrich syndrome protein (N-WASP). [Source:Uniprot/SWISSPROT;Acc:O00401]"				
WBP11	-3,5494	0,8205	0	0,0597	1,0032	38,7936	-2,2914	0,8889	0,4599	5,3872	1,2936	0	12	p12.3	"WW domain-binding protein 11 (WBP-11) (SH3 domain-binding protein SNP70) (Npw38-binding protein) (NpwBP). [Source:Uniprot/SWISSPROT;Acc:Q9Y2W2]"				
WBP2	2,6693	1,1493	0,3398	3,4946	1,1889	0	-0,4563	0,9783	21,5379	-5,214	0,793	0	17	q25.1	"WW domain-binding protein 2 (WBP-2). [Source:Uniprot/SWISSPROT;Acc:Q969T9]"				
WBP4	-3,8255	0,8385	0	-1,579	0,9317	6,6672	2,562	1,1149	0,4599	2,31	1,0989	0,2958	13	q14.11	"WW domain-binding protein 4 (WBP-4) (WW domain-containing-binding protein 4) (Formin-binding protein 21). [Source:Uniprot/SWISSPROT;Acc:O75554]"				
WBP5	-4,0171	0,7993	0	-1,5615	0,9186	6,6672	2,4536	1,1349	0,4599	2,5595	1,135	0,2958	X	q22.1	"WW domain-binding protein 5 (WBP-5). [Source:Uniprot/SWISSPROT;Acc:Q9UHQ7]"				
WBSCR16	1,923	1,0773	3,2175	-1,6418	0,9408	6,6672	-1,5054	0,948	3,2152	1,2637	1,0439	6,6307	7	q11.23	"Williams-Beuren syndrome chromosomal region 16 protein (RCC1-like G exchanging factor-like protein). [Source:Uniprot/SWISSPROT;Acc:Q96I51]"				
WBSCR22	2,1953	1,1181	1,216	-0,6189	0,9701	24,1232	-3,427	0,8541	0,0249	1,8987	1,0884	1,4298	7	q11.23	"Uncharacterized methyltransferase WBSCR22 (EC 2.1.1.-) (Williams- Beuren syndrome chromosomal region 22 protein). [Source:Uniprot/SWISSPROT;Acc:O43709]"				
WDFY3	-0,9542	0,9559	11,2803	-1,9695	0,9153	2,5859	3,1504	1,1432	0,0249	-0,3493	0,9856	23,8828	4	q21.23	"WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy). [Source:Uniprot/SWISSPROT;Acc:Q8IZQ1]"				
WDHD1	-3,454	0,8358	0	0,9593	1,0495	13,0283	-2,0318	0,9072	1,3817	4,1314	1,2051	0	14	q22.3	"WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA- binding protein 1) (And-1). [Source:Uniprot/SWISSPROT;Acc:O75717]"				
WDR1	-2,842	0,8658	0,066	2,4396	1,1258	0,3348	5,0845	1,2581	0	-4,5919	0,8184	0	4	p16.1	"WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1). [Source:Uniprot/SWISSPROT;Acc:O75083]"				
WDR12	-1,3984	0,9305	4,8218	-0,0375	0,9981	38,7936	-4,5233	0,8128	0	5,719	1,2808	0	2	q33.1	"WD repeat-containing protein 12 (YTM1 homolog). [Source:Uniprot/SWISSPROT;Acc:Q9GZL7]"				
WDR13	1,2536	1,0746	8,9075	0,2617	1,0145	33,3649	-2,6304	0,872	0,1264	1,165	1,0604	6,6307	X	p11.23	"WD repeat-containing protein 13. [Source:Uniprot/SWISSPROT;Acc:Q9H1Z4]"				
WDR18	-1,3336	0,9401	6,6377	-0,1865	0,9917	37,3139	-2,1793	0,9123	0,4599	3,4697	1,1488	0,0073	19	p13.3	"WD repeat-containing protein 18. [Source:Uniprot/SWISSPROT;Acc:Q9BV38]"				
WDR19	-1,0268	0,9382	11,2803	-0,3976	0,9766	30,6701	-2,3309	0,8769	0,4599	3,5402	1,2088	0,0073	4	p14	"WD repeat-containing protein 19. [Source:Uniprot/SWISSPROT;Acc:Q8NEZ3]"				
WDR23	2,2823	1,1152	1,216	1,4464	1,0686	6,6672	-4,5147	0,8245	0	0,9039	1,0388	9,2746	14	q12	"WD repeat-containing protein 23. [Source:Uniprot/SWISSPROT;Acc:Q8TEB1]"				
WDR25	-1,1233	0,9567	8,9075	0,5756	1,0219	24,1232	-2,1739	0,9251	0,4599	2,5489	1,0912	0,2958	14	q32.2	"WD repeat-containing protein 25. [Source:Uniprot/SWISSPROT;Acc:Q64LD2]"				
WDR26	-0,9663	0,9598	11,2803	-0,3373	0,9863	33,3649	0,522	1,0204	18,9683	0,6547	1,0246	15,204	1	q42.11	"WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2). [Source:Uniprot/SWISSPROT;Acc:Q9H7D7]"				
WDR3	2,5059	1,1364	0,6697	2,756	1,1438	0,1301	-4,5748	0,8113	0	-0,4118	0,9815	22,8783	1	p12	"WD repeat-containing protein 3. [Source:Uniprot/SWISSPROT;Acc:Q9UNX4]"				
WDR32	-0,0303	0,9984	33,3668	2,0641	1,1059	1,4462	-0,9213	0,9578	9,6877	-0,9725	0,9572	12,1755	9	p13.2	"WD repeat-containing protein 32. [Source:Uniprot/SWISSPROT;Acc:Q5QP82]"				
WDR37	-0,8705	0,9567	13,9168	-0,6977	0,9666	24,1232	-1,3252	0,9405	3,2152	2,6953	1,126	0,1052	10	p15.3	"WD repeat-containing protein 37. [Source:Uniprot/SWISSPROT;Acc:Q9Y2I8]"				
WDR4	2,0886	1,1205	2,0642	1,6696	1,0911	4,2891	-2,2975	0,8921	0,4599	-1,1582	0,9459	9,2746	21	q22.3	"WD repeat-containing protein 4. [Source:Uniprot/SWISSPROT;Acc:P57081]"				
WDR41	-3,712	0,8388	0	0,1017	1,0047	37,3139	3,1589	1,147	0,0249	0,1111	1,0047	26,223	5	q14.1	"WD repeat-containing protein 41. [Source:Uniprot/SWISSPROT;Acc:Q9HAD4]"				
WDR42A	1,2734	1,0519	8,9075	-1,316	0,9511	9,5943	-3,8458	0,8719	0	3,7754	1,138	0	1	q23.2	"WD repeat-containing protein 42A. [Source:Uniprot/SWISSPROT;Acc:Q5TAQ9]"				
WDR44	-0,4558	0,9739	24,09	4,642	1,2837	0	1,4781	1,0809	6,1022	-5,3442	0,7702	0	X	q24	"WD repeat-containing protein 44 (Rabphilin-11). [Source:Uniprot/SWISSPROT;Acc:Q5JSH3]"				
WDR45	1,74	1,1038	4,8218	3,9612	1,2354	0	-2,0142	0,901	1,3817	-3,1952	0,8543	0,0073	X	p11.23	"WD repeat domain phosphoinositide-interacting protein 4 (WIPI-4) (WD repeat-containing protein 45). [Source:Uniprot/SWISSPROT;Acc:Q9Y484]"				
WDR45L	0,6636	1,0405	21,7605	3,6287	1,227	0	0,7794	1,0435	16,0569	-4,7326	0,7854	0	17	q25.3	"WD repeat domain phosphoinositide-interacting protein 3 (WIPI-3) (WD repeat-containing protein 45-like) (WDR45-like protein) (WIPI49-like protein). [Source:Uniprot/SWISSPROT;Acc:Q5MNZ6]"				
WDR46	0,0327	1,0015	33,3668	1,7471	1,0815	2,5859	-2,5029	0,8988	0,4599	0,7567	1,0317	12,1755	6	p21.32	"WD repeat domain 46. [Source:Uniprot/SPTREMBL;Acc:Q5STR3]"				
WDR47	-0,4064	0,9805	24,09	-1,4153	0,9366	9,5943	-0,0726	0,9967	21,5379	1,726	1,0757	2,6217	1	p13.3	"WD repeat-containing protein 47. [Source:Uniprot/SWISSPROT;Acc:O94967]"				
WDR48	-2,0567	0,9068	1,216	0,9944	1,0464	13,0283	-2,5858	0,8942	0,1264	3,3915	1,15	0,0073	3	p22.2	"WD repeat-containing protein 48 (WD repeat endosomal protein) (p80). [Source:Uniprot/SWISSPROT;Acc:Q8TAF3]"				
WDR57	-2,1704	0,861	0,6697	4,063	1,3018	0	-2,4882	0,8553	0,4599	0,6141	1,038	15,204	1	p35.2	"WD repeat-containing protein 57 (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (38 kDa-splicing factor). [Source:Uniprot/SWISSPROT;Acc:Q96DI7]"				
WDR59	-0,1282	0,9953	31,3022	0,7021	1,0248	20,4598	-3,2698	0,8982	0,0249	2,5804	1,0852	0,1052	16	q23.1	"WD repeat-containing protein 59. [Source:Uniprot/SWISSPROT;Acc:Q6PJI9]"				
WDR5B	-1,057	0,9402	11,2803	1,4355	1,0832	6,6672	-2,5603	0,8735	0,4599	2,0584	1,1103	0,6935	3	q21.1	"WD repeat-containing protein 5B. [Source:Uniprot/SWISSPROT;Acc:Q86VZ2]"				
WDR6	0,6012	1,0282	21,7605	-4,5321	0,8225	0	-1,1127	0,9541	6,1022	4,7171	1,2041	0	3	p21.31	"WD repeat-containing protein 6. [Source:Uniprot/SWISSPROT;Acc:Q9NNW5]"				
WDR60	2,2704	1,1222	1,216	-3,8213	0,8324	0,0187	-1,2214	0,9446	6,1022	2,6511	1,1249	0,1052	7	q36.3	"WD repeat-containing protein 60. [Source:Uniprot/SWISSPROT;Acc:Q8WVS4]"				
WDR61	-1,8035	0,8975	2,0642	1,737	1,1047	2,5859	-0,5139	0,9721	21,5379	0,4811	1,0256	18,2234	15	q25.1	"WD repeat-containing protein 61 (Meiotic recombination REC14 protein homolog). [Source:Uniprot/SWISSPROT;Acc:Q9GZS3]"				
WDR62	-1,2251	0,941	6,6377	0,896	1,0434	16,7477	-3,4225	0,8583	0,0249	3,5407	1,1636	0,0073	19	q13.12	"WD repeat-containing protein 62. [Source:Uniprot/SWISSPROT;Acc:O43379]"				
WDR67	-0,0245	0,9985	33,3668	1,2301	1,072	9,5943	-0,628	0,9666	21,5379	-0,5015	0,9743	21,0108	8	q24.13	"WD repeat-containing protein 67. [Source:Uniprot/SWISSPROT;Acc:Q96DN5]"				
WDR68	-2,3224	0,8999	0,3398	-1,332	0,9435	9,5943	-0,0624	0,9973	21,5379	3,3489	1,1412	0,0073	17	q23.3	"WD repeat-containing protein 68 (WD repeat-containing protein An11 homolog). [Source:Uniprot/SWISSPROT;Acc:P61962]"				
WDR7	-1,2785	0,9384	6,6377	2,7684	1,1392	0,1301	2,1828	1,1035	1,3817	-3,531	0,8595	0	18	q21.31	"WD repeat-containing protein 7 (TGF-beta resistance-associated protein TRAG) (Rabconnectin-3 beta). [Source:Uniprot/SWISSPROT;Acc:Q9Y4E6]"				
WDR70	-1,0528	0,9529	11,2803	1,8509	1,0841	2,5859	-2,3861	0,9057	0,4599	1,5076	1,0622	2,6217	5	p13.2	"WD repeat-containing protein 70. [Source:Uniprot/SWISSPROT;Acc:Q9NW82]"				
WDR73	-0,9171	0,9515	13,9168	-1,1812	0,9407	13,0283	-2,5324	0,8832	0,4599	4,4032	1,2259	0	15	q25.2	"WD repeat-containing protein 73. [Source:Uniprot/SWISSPROT;Acc:Q6P4I2]"				
WDR74	2,6495	1,1197	0,3398	1,7739	1,0755	2,5859	-3,6463	0,8686	0,0249	-0,4858	0,9818	21,0108	11	q12.3	"WD repeat-containing protein 74 (NOP seven-associated protein 1). [Source:Uniprot/SWISSPROT;Acc:Q6RFH5]"				
WDR76	-2,2825	0,8865	0,6697	2,9456	1,1594	0,0467	-3,0451	0,8642	0,1264	2,2167	1,1079	0,6935	15	q15.3	"WD repeat-containing protein 76. [Source:Uniprot/SWISSPROT;Acc:Q9H967]"				
WDR77	1,704	1,1084	4,8218	0,6655	1,0393	20,4598	-5,9709	0,7293	0	3,4228	1,1961	0,0073	1	p13.2	"Methylosome protein 50 (MEP-50) (WD repeat-containing protein 77) (Androgen receptor cofactor p44) (p44/Mep50). [Source:Uniprot/SWISSPROT;Acc:Q9BQA1]"				
WDR78	3,0983	1,2239	0,1677	-1,0652	0,935	16,7477	-2,1219	0,8805	0,4599	0,3166	1,0184	21,0108	1	p31.3	"WD repeat-containing protein 78. [Source:Uniprot/SWISSPROT;Acc:Q5VTH9]"				
WDR79	-1,8126	0,9263	2,0642	0,0134	1,0005	38,7936	-4,4319	0,8464	0	5,9895	1,2357	0	17	p13.1	"WD repeat-containing protein 79. [Source:Uniprot/SWISSPROT;Acc:Q9BUR4]"				
WDR8	-1,2656	0,9466	6,6377	2,336	1,1011	0,7301	-3,348	0,8775	0,0249	2,1564	1,0849	0,6935	1	p36.32	"WD repeat-containing protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9P2S5]"				
WDR82	0,5783	1,0271	21,7605	-2,6552	0,89	0,3348	-0,4809	0,9798	21,5379	2,3822	1,1006	0,2958	3	p21.1	"WD repeat-containing protein 82 (Swd2). [Source:Uniprot/SWISSPROT;Acc:Q6UXN9]"				
WDR91	2,3116	1,1389	1,216	0,3761	1,0206	30,6701	-1,0438	0,9474	6,1022	-1,3594	0,9348	6,6307	7	q33	"WD repeat-containing protein 91. [Source:Uniprot/SWISSPROT;Acc:A4D1P6]"				
WDTC1	2,6869	1,1118	0,3398	0,5386	1,0207	24,1232	-2,4959	0,9139	0,4599	-0,4523	0,9843	22,8783	1	p36.11	"WD and tetratricopeptide repeats protein 1. [Source:Uniprot/SWISSPROT;Acc:Q8N5D0]"				
WEE1	-1,2888	0,932	6,6377	-0,9614	0,9509	16,7477	-1,3934	0,9328	3,2152	3,3916	1,1737	0,0073	11	p15.4	"Wee1-like protein kinase (EC 2.7.10.2) (Wee1A kinase) (WEE1hu). [Source:Uniprot/SWISSPROT;Acc:P30291]"				
WFDC1	-0,9709	0,9276	11,2803	-5,3578	0,6821	0	2,2216	1,1688	1,3817	3,5211	1,2649	0,0073	16	q24.1	"WAP four-disulfide core domain protein 1 precursor (Prostate stromal protein ps20) (ps20 growth inhibitor). [Source:Uniprot/SWISSPROT;Acc:Q9HC57]"				
WFDC2	2,7608	1,2523	0,3398	2,5764	1,2227	0,3348	-4,8726	0,701	0	-0,202	0,9855	25,3788	20	q13.12	"WAP four-disulfide core domain protein 2 precursor (Major epididymis- specific protein E4) (Epididymal secretory protein E4) (Putative protease inhibitor WAP5). [Source:Uniprot/SWISSPROT;Acc:Q14508]"				
WFS1	1,9265	1,1085	3,2175	-4,0085	0,8173	0	1,8324	1,0936	3,2152	0,1653	1,0078	26,223	4	p16.1	"Wolframin. [Source:Uniprot/SWISSPROT;Acc:O76024]"				
WHDC1L1	0,6112	1,0164	21,7605	-2,5668	0,9371	0,7301	3,8307	1,0954	0	-1,8042	0,9588	2,6217	0	0	0				
WHSC1	-3,9931	0,8045	0	1,1852	1,0649	9,5943	-0,988	0,9511	9,6877	3,3368	1,1738	0,0073	4	p16.3	"Probable histone-lysine N-methyltransferase NSD2 (EC 2.1.1.43) (Nuclear SET domain-containing protein 2) (Wolf-Hirschhorn syndrome candidate 1 protein) (Multiple myeloma SET domain-containing protein) (Protein trithorax-5). [Source:Uniprot/SWISSPROT;Acc:O96028]"				
WHSC1L1	0,6757	1,0319	21,7605	-4,1338	0,8352	0	-0,527	0,9778	21,5379	3,6812	1,1589	0	8	p12	"Histone-lysine N-methyltransferase NSD3 (EC 2.1.1.43) (Nuclear SET domain-containing protein 3) (WHSC1-like protein 1) (Wolf-Hirschhorn syndrome candidate 1-like protein 1) (Whistle) (WHSC1-like 1 isoform 9 with methyltransferase activity to lysine). [Source:Uniprot/SWISSPROT;Acc:Q9BZ95]"				
WHSC2	-1,6463	0,9283	3,2175	-0,3583	0,9845	33,3649	-1,3841	0,9445	3,2152	3,1314	1,1304	0,0325	4	p16.3	"Negative elongation factor A (NELF-A) (Wolf-Hirschhorn syndrome candidate 2 protein). [Source:Uniprot/SWISSPROT;Acc:Q9H3P2]"				
WIF1	-1,7715	0,7708	2,0642	-2,3832	0,7161	0,7301	0,4268	1,0591	20,0349	3,3513	1,5326	0,0073	12	q14.3	"Wnt inhibitory factor 1 precursor (WIF-1). [Source:Uniprot/SWISSPROT;Acc:Q9Y5W5]"				
WIPF1	-5,8158	0,7335	0	7,0297	1,421	0	9,6024	1,5461	0	-10,7977	0,6324	0	0	0	0				
WIPF2	-0,3425	0,9864	26,2979	-0,2584	0,9901	35,6069	1,2425	1,0462	9,6877	-0,652	0,9774	18,2234	17	q21.2	"WAS/WASL-interacting protein family member 2 (WIP-related protein) (WASP-interacting protein-related protein) (WIP- and CR16-homologous protein). [Source:Uniprot/SWISSPROT;Acc:Q8TF74]"				
WIPI2	-0,4662	0,9782	21,7605	-0,834	0,963	20,4598	-1,1565	0,9514	6,1022	2,2954	1,0988	0,2958	7	p22.1	"WD repeat domain phosphoinositide-interacting protein 2 (WIPI-2) (WIPI49-like protein 2). [Source:Uniprot/SWISSPROT;Acc:Q9Y4P8]"				
WISP1	-4,973	0,7354	0	-0,9347	0,9445	16,7477	19,4909	2,2115	0	-8,7894	0,6396	0	8	q24.22	"WNT1-inducible-signaling pathway protein 1 precursor (WISP-1) (Wnt-1- induced secreted protein). [Source:Uniprot/SWISSPROT;Acc:O95388]"				
WISP2	0,7394	1,0492	19,2003	-2,6019	0,8517	0,7301	4,2304	1,278	0	-2,2625	0,8798	0,6935	20	q13.12	"WNT1-inducible-signaling pathway protein 2 precursor (WISP-2) (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58). [Source:Uniprot/SWISSPROT;Acc:O76076]"				
WISP3	1,5351	1,1948	6,6377	3,6884	1,4968	0	-4,0702	0,6548	0	-0,84	0,918	15,204	6	q21	"WNT1-inducible-signaling pathway protein 3 precursor (WISP-3). [Source:Uniprot/SWISSPROT;Acc:O95389]"				
WIT1	-0,2032	0,985	29,8206	1,5035	1,1121	4,2891	-5,2792	0,7084	0	3,758	1,2707	0	11	p13	"Wilms tumor-associated protein (WIT-1) (Wilms tumor upstream neighbor 1 gene protein). [Source:Uniprot/SWISSPROT;Acc:Q06250]"				
WIZ	-0,6874	0,9659	16,6018	-1,5859	0,9266	6,6672	-3,1893	0,8653	0,0249	5,2573	1,2505	0	19	p13.12	"Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803). [Source:Uniprot/SWISSPROT;Acc:O95785]"				
WNK1	0,2208	1,0127	31,3022	-2,9979	0,8503	0,1301	1,3083	1,0705	9,6877	1,2712	1,0656	4,3519	12	p13.33	"Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Protein kinase with no lysine 1) (Protein kinase, lysine-deficient 1) (Kinase deficient protein) (Erythrocyte 65 kDa protein) (p65). [Source:Uniprot/SWISSPROT;Acc:Q9H4A3]"				
WNT1	2,0113	1,0718	2,0642	0,1238	1,0041	35,6069	-2,1635	0,9342	0,4599	0,194	1,0059	26,223	12	q13.12	"Proto-oncogene protein Wnt-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P04628]"				
WNT10B	1,2671	1,0657	8,9075	-0,1613	0,9922	37,3139	-2,3935	0,8965	0,4599	1,32	1,0598	4,3519	12	q13.12	"Protein Wnt-10b precursor (Wnt-12). [Source:Uniprot/SWISSPROT;Acc:O00744]"				
WNT11	-2,9717	0,7602	0,0315	-4,6953	0,6652	0	3,5925	1,3512	0	3,4194	1,317	0,0073	11	q13.5	"Protein Wnt-11 precursor. [Source:Uniprot/SWISSPROT;Acc:O96014]"				
WNT16	-0,8041	0,9406	13,9168	-1,6789	0,8853	4,2891	1,5071	1,11	6,1022	0,796	1,0544	12,1755	7	q31.31	"Protein Wnt-16 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9UBV4]"				
WNT2	-2,757	0,7439	0,066	-2,0128	0,8125	2,5859	3,2839	1,3776	0,0249	1,1219	1,1121	6,6307	7	q31.2	"Protein Wnt-2 precursor (IRP protein) (Int-1-related protein). [Source:Uniprot/SWISSPROT;Acc:P09544]"				
WNT2B	-0,0993	0,9906	33,3668	-4,0377	0,6995	0	-2,964	0,7766	0,1264	6,9163	1,7156	0	1	p13.2	"Protein Wnt-2b precursor (Wnt-13). [Source:Uniprot/SWISSPROT;Acc:Q93097]"				
WNT3	0,1013	1,0029	32,8456	-2,6655	0,9284	0,3348	0,1802	1,0048	21,5379	2,1702	1,0571	0,6935	17	q21.32	"Proto-oncogene protein Wnt-3 precursor. [Source:Uniprot/SWISSPROT;Acc:P56703]"				
WNT4	-3,3693	0,7196	0	-2,6325	0,7809	0,3348	3,3689	1,3503	0	2,1279	1,2016	0,6935	1	p36.12	"Protein Wnt-4 precursor. [Source:Uniprot/SWISSPROT;Acc:P56705]"				
WNT5A	-3,4279	0,7433	0	-3,8989	0,7252	0	3,1341	1,2816	0,0249	3,5507	1,3085	0	3	p14.3	"Protein Wnt-5a precursor. [Source:Uniprot/SWISSPROT;Acc:P41221]"				
WNT5B	-1,0601	0,9175	11,2803	-2,4998	0,8247	0,7301	-0,6847	0,9505	13,23	3,9334	1,3157	0	12	p13.33	"Protein Wnt-5b precursor. [Source:Uniprot/SWISSPROT;Acc:Q9H1J7]"				
WNT6	-0,4294	0,9755	24,09	-1,8027	0,9058	4,2891	-2,1568	0,8934	0,4599	4,1718	1,2282	0	2	q35	"Protein Wnt-6 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9Y6F9]"				
WNT7A	-1,695	0,8432	3,2175	-3,1594	0,7399	0,1301	6,8064	1,8085	0	-1,8376	0,8506	1,4298	3	p25.1	"Protein Wnt-7a precursor. [Source:Uniprot/SWISSPROT;Acc:O00755]"				
WNT7B	4,8283	1,3014	0	-1,562	0,9195	6,6672	0,9354	1,0491	14,6237	-3,6352	0,8385	0	22	q13.31	"Protein Wnt-7b precursor. [Source:Uniprot/SWISSPROT;Acc:P56706]"				
